Iteration No,alpha,fixed_alpha,Rb,Rd1,Rd2,Rbias3,Rbias4,Cload,len2,Ibias1,Ibias2,W1,W2,W3,Alo,
31,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
32,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
33,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
34,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
35,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
36,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
37,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
38,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
39,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
40,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
41,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
42,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
43,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
44,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
45,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
46,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
47,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
48,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
49,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
50,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
51,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
52,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
53,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
54,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
55,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
56,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
57,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
58,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
59,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
60,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
61,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
62,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
63,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
64,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
65,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
66,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
67,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
68,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
69,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
70,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
71,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
72,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
73,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
74,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
75,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
76,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
77,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
78,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
79,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
80,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,
