Iteration No,alpha,Rd,W2,W1,Ibias,Alo,
103,0.13,1,1,1,1,1,
104,0.13,1,1,1,1,1,
105,0.13,1,1,1,1,1,
106,0.13,1,1,1,1,1,
107,0.13,1,1,1,1,1,
108,0.13,1,1,1,1,1,
109,0.13,1,1,1,1,1,
110,0.13,1,1,1,1,1,
111,0.13,1,1,1,1,1,
112,0.13,1,1,1,1,1,
113,0.13,1,1,1,1,1,
114,0.13,1,1,1,1,1,
115,0.13,1,1,1,1,1,
116,0.13,1,1,1,1,1,
117,0.13,1,1,1,1,1,
118,0.13,1,1,1,1,1,
119,0.13,1,1,1,1,1,
120,0.13,1,1,1,1,1,
121,0.13,1,1,1,1,1,
122,0.13,1,1,1,1,1,
123,0.13,1,1,1,1,1,
124,0.13,1,1,1,1,1,
125,0.13,1,1,1,1,1,
126,0.13,1,1,1,1,1,
127,0.13,1,1,1,1,1,
128,0.13,1,1,1,1,1,
129,0.13,1,1,1,1,1,
130,0.13,1,1,1,1,1,
131,0.13,1,1,1,1,1,
132,0.13,1,1,1,1,1,
133,0.13,1,1,1,1,1,
134,0.13,1,1,1,1,1,
135,0.13,1,1,1,1,1,
136,0.13,1,1,1,1,1,
137,0.13,1,1,1,1,1,
138,0.13,1,1,1,1,1,
139,0.13,1,1,1,1,1,
140,0.13,1,1,1,1,1,
141,0.13,1,1,1,1,1,
142,0.13,1,1,1,1,1,
143,0.13,1,1,1,1,1,
144,0.13,1,1,1,1,1,
145,0.13,1,1,1,1,1,
146,0.13,1,1,1,1,1,
147,0.13,1,1,1,1,1,
148,0.13,1,1,1,1,1,
149,0.13,1,1,1,1,1,
150,0.13,1,1,1,1,1,
151,0.13,1,1,1,1,1,
152,0.13,1,1,1,1,1,
153,0.13,1,1,1,1,1,
154,0.13,1,1,1,1,1,
155,0.13,1,1,1,1,1,
156,0.13,1,1,1,1,1,
157,0.13,1,1,1,1,1,
158,0.13,1,1,1,1,1,
159,0.13,1,1,1,1,1,
160,0.13,1,1,1,1,1,
161,0.13,1,1,1,1,1,
162,0.13,1,1,1,1,1,
163,0.13,1,1,1,1,1,
164,0.13,1,1,1,1,1,
165,0.13,1,1,1,1,1,
166,0.13,1,1,1,1,1,
167,0.13,1,1,1,1,1,
168,0.13,1,1,1,1,1,
169,0.13,1,1,1,1,1,
170,0.13,1,1,1,1,1,
171,0.13,1,1,1,1,1,
172,0.13,1,1,1,1,1,
173,0.13,1,1,1,1,1,
174,0.13,1,1,1,1,1,
175,0.13,1,1,1,1,1,
176,0.13,1,1,1,1,1,
177,0.13,1,1,1,1,1,
178,0.13,1,1,1,1,1,
179,0.13,1,1,1,1,1,
180,0.13,1,1,1,1,1,
181,0.13,1,1,1,1,1,
182,0.13,1,1,1,1,1,
183,0.13,1,1,1,1,1,
184,0.13,1,1,1,1,1,
185,0.13,1,1,1,1,1,
186,0.13,1,1,1,1,1,
187,0.13,1,1,1,1,1,
188,0.13,1,1,1,1,1,
189,0.13,1,1,1,1,1,
190,0.13,1,1,1,1,1,
191,0.13,1,1,1,1,1,
192,0.13,1,1,1,1,1,
193,0.13,1,1,1,1,1,
194,0.13,1,1,1,1,1,
195,0.13,1,1,1,1,1,
196,0.13,1,1,1,1,1,
197,0.13,1,1,1,1,1,
198,0.13,1,1,1,1,1,
199,0.13,1,1,1,1,1,
200,0.13,1,1,1,1,1,
201,0.13,1,1,1,1,1,
202,0.13,1,1,1,1,1,
203,0.13,1,1,1,1,1,
204,0.13,1,1,1,1,1,
205,0.13,1,1,1,1,1,
206,0.13,1,1,1,1,1,
207,0.13,1,1,1,1,1,
208,0.13,1,1,1,1,1,
209,0.13,1,1,1,1,1,
210,0.13,1,1,1,1,1,
211,0.13,1,1,1,1,1,
212,0.13,1,1,1,1,1,
213,0.13,1,1,1,1,1,
214,0.13,1,1,1,1,1,
215,0.13,1,1,1,1,1,
216,0.13,1,1,1,1,1,
217,0.13,1,1,1,1,1,
218,0.13,1,1,1,1,1,
219,0.13,1,1,1,1,1,
220,0.13,1,1,1,1,1,
221,0.13,1,1,1,1,1,
222,0.13,1,1,1,1,1,
223,0.13,1,1,1,1,1,
224,0.13,1,1,1,1,1,
225,0.13,1,1,1,1,1,
226,0.13,1,1,1,1,1,
227,0.13,1,1,1,1,1,
228,0.13,1,1,1,1,1,
229,0.13,1,1,1,1,1,
230,0.13,1,1,1,1,1,
231,0.13,1,1,1,1,1,
232,0.13,1,1,1,1,1,
233,0.13,1,1,1,1,1,
234,0.13,1,1,1,1,1,
235,0.13,1,1,1,1,1,
236,0.13,1,1,1,1,1,
237,0.13,1,1,1,1,1,
238,0.13,1,1,1,1,1,
239,0.13,1,1,1,1,1,
240,0.13,1,1,1,1,1,
241,0.13,1,1,1,1,1,
242,0.13,1,1,1,1,1,
243,0.13,1,1,1,1,1,
244,0.13,1,1,1,1,1,
245,0.13,1,1,1,1,1,
246,0.13,1,1,1,1,1,
247,0.13,1,1,1,1,1,
248,0.13,1,1,1,1,1,
249,0.13,1,1,1,1,1,
250,0.13,1,1,1,1,1,
