Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,L,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Cload,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
11,Rd,-0.0008992338033772143,-0.0006528549599667943,0.0,0.0,-9.354884673125898e-05,-0.00015282999667915847,0.0,0.0,Ibias,311.32084746442445,39.11885681640869,0.0,0.0,-12.015295362078184,284.21728601009397,0.0,0.0,L,-5861598.618040036,-8689973.787742129,0.0,0.0,-2030506.420270107,4858881.589972143,0.0,0.0,W1,-7684.32547522768,-4178.45359053422,0.0,0.0,-3693.3666177992454,187.49473310583753,0.0,0.0,W2,-2265.9036296273275,-150.22082295691382,0.0,0.0,-3839.381886183554,1723.6990795132517,0.0,0.0,Cload,508370164.4939406,-103116.13979323042,0.0,0.0,508473280.6333546,0.0,0.0,0.0,Alo,-0.28081749247006915,0.426458773123974,0.0,0.0,-0.7072762655940451,0.0,0.0,0.0,Rbias2,-2.1143837910555272e-05,-1.0720289654986336e-05,0.0,0.0,4.773229554212613e-06,-1.519677780978169e-05,0.0,0.0,Rbias3,1.2322281983757694e-05,6.270573905623348e-06,0.0,0.0,-2.700457249118928e-06,8.752165327253302e-06,0.0,0.0,
12,Rd,-6.407650413359427e-05,0.0,0.0,0.0,4.237894892206803e-05,-0.00010645545305566508,0.0,0.0,Ibias,306.1569394018519,0.0,0.0,0.0,-6.71170373112222,312.86864313297554,0.0,0.0,L,4358267.39432211,0.0,0.0,0.0,22792.553661357153,4335474.840660821,0.0,0.0,W1,-3390.273040801817,0.0,0.0,0.0,-3483.2821097771666,93.00906897542315,0.0,0.0,W2,-1251.5411624292062,0.0,0.0,0.0,-2716.5349054809985,1464.9937430516648,0.0,0.0,Cload,408851900.69562507,0.0,0.0,0.0,408851900.6955539,0.0,0.0,0.0,Alo,-0.5082420965120301,0.0,0.0,0.0,-0.5082420965120348,0.0,0.0,0.0,Rbias2,-1.0499672187104828e-05,0.0,0.0,0.0,3.0622719979424612e-06,-1.3561944185047126e-05,0.0,0.0,Rbias3,6.27287231685785e-06,0.0,0.0,0.0,-1.7849024506325795e-06,8.057774767490387e-06,0.0,0.0,
13,Rd,-0.00010812208495435517,0.0,0.0,0.0,0.0,-0.00010812208495435517,0.0,0.0,Ibias,314.15731818093764,0.0,0.0,0.0,0.0,314.15731818093764,0.0,0.0,L,4294091.615821478,0.0,0.0,0.0,0.0,4294091.615821478,0.0,0.0,W1,110.73728159183266,0.0,0.0,0.0,0.0,110.73728159183266,0.0,0.0,W2,1446.014186241566,0.0,0.0,0.0,0.0,1446.014186241566,0.0,0.0,Cload,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.3672968876787284e-05,0.0,0.0,0.0,0.0,-1.3672968876787284e-05,0.0,0.0,Rbias3,8.005586970906818e-06,0.0,0.0,0.0,0.0,8.005586970906818e-06,0.0,0.0,
14,Rd,-0.00013441096546174067,0.0,0.0,0.0,-2.5633400828058482e-05,-0.00010877756463369886,0.0,0.0,Ibias,276.8662130482794,0.0,0.0,0.0,-20.516711902200637,297.3829249504796,0.0,0.0,L,3561242.756344401,0.0,0.0,0.0,-872430.3055714141,4433673.061915718,0.0,0.0,W1,-2947.02721802721,0.0,0.0,0.0,-3063.825962467723,116.79874444050428,0.0,0.0,W2,-1554.554579558184,0.0,0.0,0.0,-3022.7544125407767,1468.1998329825474,0.0,0.0,Cload,453506559.2473984,0.0,0.0,0.0,453506559.2472736,0.0,0.0,0.0,Alo,-0.5996299962125129,0.0,0.0,0.0,-0.5996299962125161,0.0,0.0,0.0,Rbias2,-9.385933113895582e-06,0.0,0.0,0.0,4.171478623436038e-06,-1.3557411737331993e-05,0.0,0.0,Rbias3,5.946274324905305e-06,0.0,0.0,0.0,-2.568944542570029e-06,8.515218867475317e-06,0.0,0.0,
15,Rd,-0.00010828557445892826,0.0,0.0,0.0,0.0,-0.00010828557445892826,0.0,0.0,Ibias,301.70339990826415,0.0,0.0,0.0,0.0,301.70339990826415,0.0,0.0,L,4328424.335063657,0.0,0.0,0.0,0.0,4328424.335063657,0.0,0.0,W1,130.1943519757486,0.0,0.0,0.0,0.0,130.1943519757486,0.0,0.0,W2,1431.1509069058977,0.0,0.0,0.0,0.0,1431.1509069058977,0.0,0.0,Cload,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.3585518450685125e-05,0.0,0.0,0.0,0.0,-1.3585518450685125e-05,0.0,0.0,Rbias3,8.351788038080086e-06,0.0,0.0,0.0,0.0,8.351788038080086e-06,0.0,0.0,
16,Rd,-0.00016678261037275478,0.0,0.0,0.0,-5.800206664833313e-05,-0.00010878054372443776,0.0,0.0,Ibias,251.7097230689236,0.0,0.0,0.0,-31.762776456792725,283.4724995257142,0.0,0.0,L,2701240.5023733275,0.0,0.0,0.0,-1586846.3981288865,4288086.90050219,0.0,0.0,W1,-2604.0870079824476,0.0,0.0,0.0,-2752.176722723683,148.08971474125957,0.0,0.0,W2,-1676.090841433447,0.0,0.0,0.0,-3134.1369103404145,1458.0460689069614,0.0,0.0,Cload,470586423.93551844,0.0,0.0,0.0,470586423.93566716,0.0,0.0,0.0,Alo,-0.6402310465089308,0.0,0.0,0.0,-0.6402310465089354,0.0,0.0,0.0,Rbias2,-8.477892193114864e-06,0.0,0.0,0.0,4.793408205078562e-06,-1.3271300398193278e-05,0.0,0.0,Rbias3,5.673632655993475e-06,0.0,0.0,0.0,-3.151079435819172e-06,8.824712091812667e-06,0.0,0.0,
17,Rd,-0.00010669268238196807,0.0,0.0,0.0,0.0,-0.00010669268238196807,0.0,0.0,Ibias,290.16329442315833,0.0,0.0,0.0,0.0,290.16329442315833,0.0,0.0,L,4190391.500702545,0.0,0.0,0.0,0.0,4190391.500702545,0.0,0.0,W1,306.41150704237293,0.0,0.0,0.0,0.0,306.41150704237293,0.0,0.0,W2,1409.8049225085592,0.0,0.0,0.0,0.0,1409.8049225085592,0.0,0.0,Cload,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.3258245025231344e-05,0.0,0.0,0.0,0.0,-1.3258245025231344e-05,0.0,0.0,Rbias3,8.586311469405337e-06,0.0,0.0,0.0,0.0,8.586311469405337e-06,0.0,0.0,
18,Rd,-0.00017489794171164614,0.0,0.0,0.0,-6.684760318154122e-05,-0.00010805033853008978,0.0,0.0,Ibias,241.46053055544564,0.0,0.0,0.0,-30.473198162290423,271.9337287177356,0.0,0.0,L,3253076.042031723,0.0,0.0,0.0,-801767.7974117475,4054843.839443459,0.0,0.0,W1,-459.69578061339433,0.0,0.0,0.0,-767.15350688155,307.4577262681448,0.0,0.0,W2,192.3649483934292,0.0,0.0,0.0,-1256.206133205562,1448.5710815989735,0.0,0.0,Cload,478684907.1939636,0.0,0.0,0.0,478684907.19407743,0.0,0.0,0.0,Alo,-0.12383748737948119,0.0,0.0,0.0,-0.12383748737948296,0.0,0.0,0.0,Rbias2,-7.706892203224289e-06,0.0,0.0,0.0,5.2574007216253435e-06,-1.2964292924849822e-05,0.0,0.0,Rbias3,6.944398639731287e-06,0.0,0.0,0.0,-2.125554553649084e-06,9.069953193380342e-06,0.0,0.0,
19,Rd,-0.00010761540909280483,0.0,0.0,0.0,0.0,-0.00010761540909280483,0.0,0.0,Ibias,277.0920328379636,0.0,0.0,0.0,0.0,277.0920328379636,0.0,0.0,L,4035060.1845853175,0.0,0.0,0.0,0.0,4035060.1845853175,0.0,0.0,W1,180.9917912899777,0.0,0.0,0.0,0.0,180.9917912899777,0.0,0.0,W2,1424.7823792050717,0.0,0.0,0.0,0.0,1424.7823792050717,0.0,0.0,Cload,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.3067662034397721e-05,0.0,0.0,0.0,0.0,-1.3067662034397721e-05,0.0,0.0,Rbias3,8.90492930265567e-06,0.0,0.0,0.0,0.0,8.90492930265567e-06,0.0,0.0,
20,Rd,-0.00016799268965152206,0.0,0.0,0.0,-6.558807135354553e-05,-0.00010240461829796178,0.0,0.0,Ibias,220.38481588416445,0.0,0.0,0.0,-44.39649636780581,264.78131225196887,0.0,0.0,L,1364562.046282658,0.0,0.0,0.0,-2500437.9537173505,3864999.9999999334,0.0,0.0,W1,-2486.1498397631353,0.0,0.0,0.0,-2786.2509699484353,300.1011301852956,0.0,0.0,W2,-1820.208564458862,0.0,0.0,0.0,-3241.97081945377,1421.7622549949103,0.0,0.0,Cload,504325606.80697846,0.0,0.0,0.0,504325606.80739564,0.0,0.0,0.0,Alo,-0.6763041210937457,0.0,0.0,0.0,-0.676304121093733,0.0,0.0,0.0,Rbias2,-7.0813135223968485e-06,0.0,0.0,0.0,5.44567446871772e-06,-1.2526987991114326e-05,0.0,0.0,Rbias3,5.473845389277494e-06,0.0,0.0,0.0,-3.7417246948577743e-06,9.215570084135408e-06,0.0,0.0,
21,Rd,-9.557252785281091e-05,0.0,0.0,0.0,0.0,-9.557252785281091e-05,0.0,0.0,Ibias,277.1849415193452,0.0,0.0,0.0,0.0,277.1849415193452,0.0,0.0,L,3888313.9393838705,0.0,0.0,0.0,0.0,3888313.9393838705,0.0,0.0,W1,285.0484509360401,0.0,0.0,0.0,0.0,285.0484509360401,0.0,0.0,W2,1341.110144698012,0.0,0.0,0.0,0.0,1341.110144698012,0.0,0.0,Cload,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.2435873411099762e-05,0.0,0.0,0.0,0.0,-1.2435873411099762e-05,0.0,0.0,Rbias3,8.87994403015121e-06,0.0,0.0,0.0,0.0,8.87994403015121e-06,0.0,0.0,
22,Rd,-9.600477327533763e-05,0.0,0.0,0.0,0.0,-9.600477327533763e-05,0.0,0.0,Ibias,262.05104370194425,0.0,0.0,0.0,0.0,262.05104370194425,0.0,0.0,L,3743750.000000009,0.0,0.0,0.0,0.0,3743750.000000009,0.0,0.0,W1,286.213934664721,0.0,0.0,0.0,0.0,286.213934664721,0.0,0.0,W2,1369.2092080756383,0.0,0.0,0.0,0.0,1369.2092080756383,0.0,0.0,Cload,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.2139620029453793e-05,0.0,0.0,0.0,0.0,-1.2139620029453793e-05,0.0,0.0,Rbias3,9.289026301997456e-06,0.0,0.0,0.0,0.0,9.289026301997456e-06,0.0,0.0,
23,Rd,-0.00012498528943473682,0.0,0.0,0.0,-3.958692207184209e-05,-8.539836736289028e-05,0.0,0.0,Ibias,200.9767923127337,0.0,0.0,0.0,-53.57837207469191,254.55516438742742,0.0,0.0,L,1278365.9139863532,0.0,0.0,0.0,-2443717.419346973,3722083.3333333666,0.0,0.0,W1,-2391.177188317007,0.0,0.0,0.0,-2660.3991553709066,269.22196705391485,0.0,0.0,W2,-1735.9898905927446,0.0,0.0,0.0,-3064.2583419143607,1328.2684513216363,0.0,0.0,Cload,496212104.8276758,0.0,0.0,0.0,496212104.8278608,0.0,0.0,0.0,Alo,-0.6464004019696983,0.0,0.0,0.0,-0.6464004019696976,0.0,0.0,0.0,Rbias2,-6.2710203479201e-06,0.0,0.0,0.0,5.031127146141232e-06,-1.1302147494061135e-05,0.0,0.0,Rbias3,5.222928253372685e-06,0.0,0.0,0.0,-4.213095531611628e-06,9.436023784984239e-06,0.0,0.0,
24,Rd,-8.236567525718872e-05,0.0,0.0,0.0,0.0,-8.236567525718872e-05,0.0,0.0,Ibias,264.07148838708525,0.0,0.0,0.0,0.0,264.07148838708525,0.0,0.0,L,3750171.2356369435,0.0,0.0,0.0,0.0,3750171.2356369435,0.0,0.0,W1,257.90398999548563,0.0,0.0,0.0,0.0,257.90398999548563,0.0,0.0,W2,1274.106279682877,0.0,0.0,0.0,0.0,1274.106279682877,0.0,0.0,Cload,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.1348096470288779e-05,0.0,0.0,0.0,0.0,-1.1348096470288779e-05,0.0,0.0,Rbias3,9.210374047300486e-06,0.0,0.0,0.0,0.0,9.210374047300486e-06,0.0,0.0,
25,Rd,-7.910725852840693e-05,0.0,0.0,0.0,0.0,-7.910725852840693e-05,0.0,0.0,Ibias,252.08480441149928,0.0,0.0,0.0,0.0,252.08480441149928,0.0,0.0,L,3554499.999999979,0.0,0.0,0.0,0.0,3554499.999999979,0.0,0.0,W1,139.5375060721037,0.0,0.0,0.0,0.0,139.5375060721037,0.0,0.0,W2,1271.6421168634392,0.0,0.0,0.0,0.0,1271.6421168634392,0.0,0.0,Cload,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.0835950069547445e-05,0.0,0.0,0.0,0.0,-1.0835950069547445e-05,0.0,0.0,Rbias3,9.392887320092659e-06,0.0,0.0,0.0,0.0,9.392887320092659e-06,0.0,0.0,
26,Rd,-9.897204133166347e-05,0.0,0.0,0.0,-2.693617130432621e-05,-7.203587002733491e-05,0.0,0.0,Ibias,181.2943366876551,0.0,0.0,0.0,-65.36586737986804,246.66020406752557,0.0,0.0,L,1226114.8984425245,0.0,0.0,0.0,-2257885.1015574676,3483999.999999987,0.0,0.0,W1,-2012.2449905397064,0.0,0.0,0.0,-2133.591440985327,121.34645044563428,0.0,0.0,W2,-1629.272983006868,0.0,0.0,0.0,-2870.7598351925853,1241.4868521857297,0.0,0.0,Cload,467776474.84689224,0.0,0.0,0.0,467776474.8469281,0.0,0.0,0.0,Alo,-0.4542649612127163,0.0,0.0,0.0,-0.4542649612127142,0.0,0.0,0.0,Rbias2,-5.352012666575239e-06,0.0,0.0,0.0,4.92244616314555e-06,-1.0274458829720746e-05,0.0,0.0,Rbias3,4.914743413033756e-06,0.0,0.0,0.0,-4.542490462128246e-06,9.457233875161968e-06,0.0,0.0,
27,Rd,-6.919310551087011e-05,0.0,0.0,0.0,0.0,-6.919310551087011e-05,0.0,0.0,Ibias,256.9157189927196,0.0,0.0,0.0,0.0,256.9157189927196,0.0,0.0,L,3540792.354912589,0.0,0.0,0.0,0.0,3540792.354912589,0.0,0.0,W1,111.3575635260692,0.0,0.0,0.0,0.0,111.3575635260692,0.0,0.0,W2,400.4433309426568,0.0,0.0,0.0,0.0,400.4433309426568,0.0,0.0,Cload,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.0331079668875426e-05,0.0,0.0,0.0,0.0,-1.0331079668875426e-05,0.0,0.0,Rbias3,9.239702133663096e-06,0.0,0.0,0.0,0.0,9.239702133663096e-06,0.0,0.0,
28,Rd,-6.7839128510816e-05,0.0,0.0,0.0,0.0,-6.7839128510816e-05,0.0,0.0,Ibias,243.8830288366689,0.0,0.0,0.0,0.0,243.8830288366689,0.0,0.0,L,3373583.33333343,0.0,0.0,0.0,0.0,3373583.33333343,0.0,0.0,W1,117.55086711683292,0.0,0.0,0.0,0.0,117.55086711683292,0.0,0.0,W2,1191.9696113114594,0.0,0.0,0.0,0.0,1191.9696113114594,0.0,0.0,Cload,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-9.89112875610931e-06,0.0,0.0,0.0,0.0,-9.89112875610931e-06,0.0,0.0,Rbias3,9.438805010156732e-06,0.0,0.0,0.0,0.0,9.438805010156732e-06,0.0,0.0,
