Iteration No,Rd,Ibias,C1,C2,Cload,L,W1,W2,Rbias1,Rbias2,Rbias3,mismatch,flo,frf,Alo,Temp,
14,824.2311465760083,0.0011674079228255068,2.491468e-12,2.540252e-12,1.9331676628324665e-11,6.969209532826795e-08,0.00021047099271194038,7.623950785941786e-05,12649.502347703,18541.627457726696,7904.375966757827,0,1000000000.0,1010000000.0,0.30259194732953654,27,
15,817.5786497144112,0.0011635050269368668,2.491468e-12,2.540252e-12,1.930950362080481e-11,6.947051012401015e-08,0.000208420061208305,7.573620063731471e-05,12649.502347703,18192.878715758456,7885.104338875339,0,1000000000.0,1010000000.0,0.29900497914121615,27,
16,815.8505497875086,0.0011651849480250795,2.491468e-12,2.540252e-12,1.946662173082551e-11,6.984837710361813e-08,0.00020838606053087653,7.58747360079761e-05,12649.502347703,18091.6014481849,7923.373411726531,0,1000000000.0,1010000000.0,0.3006913423501497,27,
17,816.7776582558167,0.0011637878686103016,2.491468e-12,2.540252e-12,1.950785510083285e-11,7.008531894522435e-08,0.00020835311342294626,7.577496619498346e-05,12649.502347703,18284.026411233746,7846.74343826306,0,1000000000.0,1010000000.0,0.3006913423501497,27,
18,815.0827290020513,0.0011654275631289147,2.491468e-12,2.540252e-12,1.948571211310577e-11,7.029837574689246e-08,0.00020833302753892657,7.591566711351281e-05,12649.502347703,18167.13439764876,7866.826883129326,0,1000000000.0,1010000000.0,0.3014727573560885,27,
19,815.9804879666414,0.0011641050458013863,2.491468e-12,2.540252e-12,1.9526231807997834e-11,7.05520039386806e-08,0.000208301238618632,7.581402310022505e-05,12649.502347703,18365.22268022644,7790.080425469792,0,1000000000.0,1010000000.0,0.3014727573560885,27,
20,809.1671165242515,0.0011605579623736033,2.491468e-12,2.540252e-12,1.9504748635411222e-11,7.031712760480231e-08,0.0002065307607410948,7.539675332108735e-05,12649.502347703,17985.517592212906,7772.882197318272,0,1000000000.0,1010000000.0,0.29799651914774017,27,
21,807.4313036543094,0.0011621233630359838,2.491468e-12,2.540252e-12,1.966898306193407e-11,7.061479607635048e-08,0.00020647438076208926,7.553220034703575e-05,12649.502347703,17896.879422486192,7802.276294952848,0,1000000000.0,1010000000.0,0.2998380188474396,27,
22,808.2958801495654,0.0011607141096110505,2.491468e-12,2.540252e-12,1.9711267369940283e-11,7.088318512806998e-08,0.0002064420798460538,7.542846106107595e-05,12649.502347703,18116.06566953352,7733.437858236715,0,1000000000.0,1010000000.0,0.2998380188474396,27,
23,805.9300035920884,0.0011618064335973865,2.491468e-12,2.540252e-12,1.9690183632068695e-11,7.109712270411562e-08,0.00020631176226917179,7.553298594669987e-05,12649.502347703,18011.616478644362,7752.3774388941065,0,1000000000.0,1010000000.0,0.300353360375745,27,
24,806.930891520641,0.0011604575777568375,2.491468e-12,2.540252e-12,1.9747985852683263e-11,7.133622056766043e-08,0.00020628083696608545,7.542988522227706e-05,12649.502347703,18193.81215168091,7679.871128910702,0,1000000000.0,1010000000.0,0.300353360375745,27,
25,800.0450431728323,0.0011571531522415514,2.491468e-12,2.540252e-12,1.9723491164400935e-11,7.106957585249806e-08,0.00020458758087397386,7.503595598478243e-05,12649.502347703,17860.14022385967,7664.081756057216,0,1000000000.0,1010000000.0,0.2970402061311137,27,
26,798.1920785854929,0.0011585184627144849,2.491468e-12,2.540252e-12,1.9893247817737353e-11,7.137667545564483e-08,0.00020456073866225013,7.514964340458061e-05,12649.502347703,17766.88078062241,7697.4053135591,0,1000000000.0,1010000000.0,0.2988525393889115,27,
27,799.0882008690554,0.0011573452089910748,2.491468e-12,2.540252e-12,1.9939429037424172e-11,7.163859389900525e-08,0.00020452972342173919,7.500949671517622e-05,12649.502347703,17937.39299895745,7621.334899002572,0,1000000000.0,1010000000.0,0.2988525393889115,27,
28,796.7211114738809,0.0011583863890164154,2.491468e-12,2.540252e-12,1.991706834349512e-11,7.189914356226654e-08,0.0002044333100793777,7.509003665883013e-05,12649.502347703,17834.218475151898,7645.539686979862,0,1000000000.0,1010000000.0,0.2996355578785319,27,
29,797.5861277548623,0.0011572927255046532,2.491468e-12,2.540252e-12,1.9976242727830984e-11,7.217856156406357e-08,0.00020440323884487243,7.494790069975447e-05,12649.502347703,18006.994531827688,7570.5365008426015,0,1000000000.0,1010000000.0,0.2996355578785319,27,
30,790.2829001088061,0.001153876944837544,2.491468e-12,2.540252e-12,1.9954577637891356e-11,7.185385327096388e-08,0.00020277199004634436,7.45120915689895e-05,12649.502347703,17678.58592194054,7553.154119814688,0,1000000000.0,1010000000.0,0.2961435358616208,27,
