Iteration No,alpha,fixed_alpha,Rd,W2,W1,Cload,L,Ibias,Alo,Rbias2,Rbias3,
20,0.12,0.12,1.8925805526698385,1.1827247364574223,1.4433018124683796,1.3196521375227137,2.035935737820765,0.8140327836113455,1.4225906779592425,1.5276971037879832,1.2551289969676434,
21,0.12,0.12,1.46431156430003,1.1482408466835934,1.335360874201133,1.2938239220269894,1.4114472352947318,0.6820889787373605,2.3941280712253836,1.4341679481164287,1.392757464306541,
22,0.12,0.12,1.3041417379052611,1.1345328463687048,1.317992039404256,1.2645455428467003,1.5192204494898565,0.7883701706063712,1.9296774871251836,2.081410215821348,1.5088585773796572,
23,0.12,0.12,1.6637463106713197,1.1876736234284597,1.347914885616517,2.109743583308274,1.4649460674465824,0.7926626357734836,1.6173546288210654,1.3407935529626602,1.2745525109771567,
24,0.12,0.12,1.771043411274992,1.1743859726985688,1.3278690103891548,1.2996702504513586,1.8361117323809504,0.9241782547766692,2.0811294760097683,1.4571142805957484,1.3081254379079696,
25,0.12,0.12,2.114266302931062,1.2320279109113537,1.3243284972645517,1.2958348382322706,1.8847434360474464,0.7861971740033861,1.600702786225857,1.268224851257424,1.2995516476839442,
26,0.12,0.12,2.1018317211269024,1.2091509682122863,1.2882084400961693,1.3043830207712994,1.7495551921354746,0.793197422452705,1.7932879001716486,1.2444257252199695,1.3390534386281907,
27,0.12,0.12,1.9476581589846573,1.2120448809128768,1.3401675029199422,1.2676551388197972,1.7561363243567092,0.8144512855110242,1.5917787184802228,1.5331399793859062,1.3156227405360776,
28,0.12,0.12,1.471567529178203,1.3036572606665735,1.42681174864632,1.017110688404107,1.4366248818349323,0.7590096311395587,1.7419071210733323,2.2471311460802306,1.3512160782268405,
29,0.12,0.12,1.9933859336662787,1.1716685399123756,1.2617072657308483,1.283344285018069,1.7201839421152445,0.8044602503005032,1.9266883056324493,1.3188230574606248,1.3491398988384562,
30,0.12,0.12,2.354620774056384,1.198749329863611,1.3118158540292342,1.4992815792109837,1.446659943251212,0.8015405859004288,1.6752035416675635,1.28982370893835,1.2685688459359772,
31,0.12,0.12,1.936871646454542,1.1402297270937438,1.238333040866772,1.4343677883888581,2.0801945695045725,0.8853412390418106,1.4766353551678817,1.7248503245961697,1.1786771244856697,
32,0.12,0.12,1.8127646645087734,1.3914150323584435,1.35518688287982,2.02384407785183,1.3269746270185216,0.8736225656395223,1.288937379936663,1.4934876485328066,1.3620054420259229,
33,0.12,0.12,1.9854394258934913,1.1409616043720205,1.274494769558161,1.4735105321033735,1.4512823155892922,0.811559547493544,1.8251489083037256,1.3894516486998998,1.3895671316508231,
34,0.12,0.12,1.4558733698452766,1.4702255477992645,1.3791642467696006,1.609232687632239,1.4727199890963492,0.9351927384700299,1.6184183794668632,1.6520509689714555,1.3783901665211016,
35,0.12,0.12,1.457116725743691,1.6013930072960278,1.357915898585695,1.6464913694432497,1.5455223600307624,0.8780724456723625,1.2843403180302881,1.7213537127569125,1.362684281844068,
36,0.12,0.12,1.794582807425394,1.1408836491653913,1.2728684586286414,1.3048154647609682,1.897199511294911,0.753891524813651,1.6691925553283173,1.4629726397716312,1.2811902779464441,
37,0.12,0.12,2.356854472009776,1.1570237657421132,1.2809667510374152,1.4592901112883319,1.214939793340892,0.8050446433512269,1.9315495889648393,1.3327171855459523,1.3150892864235646,
38,0.12,0.12,1.4184834083217734,1.4303908518472506,1.3864185720941942,1.5322826918324512,1.4446910081658824,0.8199252681787395,1.4296409628357762,1.716058363389119,1.4795687584370028,
39,0.12,0.12,2.229458018118974,1.2013364397939026,1.2424852498021923,1.4408465731699103,1.388298968138733,0.7958049544316557,1.849099223685042,1.3230101306874151,1.323746820634255,
40,0.12,0.12,1.8082816648744846,1.3193144273322965,1.3544897210418323,1.3841367677090857,1.672256672104767,0.7594396204859195,1.3442908802760365,1.5303214734886548,1.3569713702720967,
41,0.12,0.12,1.7879522927593832,1.2582578646958853,1.4678930736694902,1.4786591205406583,1.5984660471354155,0.670967056923709,1.497871868937185,1.2314071910357693,1.2387567646724522,
42,0.12,0.12,1.949192055662674,1.288518896738275,1.4254938118827227,1.362959686942586,1.4297416533656055,0.5806504256292851,1.55755495709176,1.1502106355070918,1.2181014889171962,
43,0.12,0.12,1.9571540423038793,1.227067963643653,1.3897308023166661,1.4316658057379088,1.4161583861008287,0.6575658025040301,1.453058517882983,1.4319229188121396,1.2165725042811815,
44,0.12,0.12,1.5439615508204991,1.448559553228951,1.4282876452639084,1.619012595640053,1.4627392475915475,0.8262401992026086,1.4147904789989252,1.4816526651230446,1.4351804189968322,
45,0.12,0.12,1.371606937923502,1.5192185692456035,1.3671267405582845,1.0024206582031265,1.5368619008979405,0.7612163554972943,2.1918025158330523,1.0926462091372517,1.094520152457135,
46,0.12,0.12,1.4112099088808776,1.631304923506621,1.4551355340815424,1.0023126400358602,1.4044118755068364,0.7121364010807718,1.8379092737437814,1.0876883450535269,1.1313326586900136,
47,0.12,0.12,1.5015485770601964,1.440160242841351,1.5879700719230785,1.0012106311386713,1.191616287152003,0.69195430192683,1.9902347543738765,1.0941458226970342,1.0964575639330643,
48,0.12,0.12,1.3312568555837805,1.3452007919040834,1.358819781430419,1.3806282908595426,1.385997419400493,0.8576287126920886,1.3272377988224338,1.3897890137711235,1.368472712764309,
49,0.12,0.12,1.2042050559970414,1.596506142108101,1.4723588729922377,1.0231271780960427,1.220533849720195,0.8425659851242306,2.1639134829720197,1.1894281825488389,1.168638081688242,
50,0.12,0.12,1.339088989938025,1.5567462946962263,1.4900519145097846,1.0017832873431873,1.3777996712416907,0.7995153468192311,2.360232804396712,1.0871095964303592,1.109999304501834,
51,0.12,0.12,1.4443309054861826,1.3029316724523374,1.7320642126860208,1.002945093669449,1.44862771509128,0.7373733464200362,1.772867952205032,1.093714320579395,1.118144250664655,
52,0.12,0.12,1.4404214826329407,1.2254537238725078,1.937726219702233,1.0046225599872227,1.3956225376468119,0.7136690003378081,1.6108341621148987,1.1132372419525927,1.117655913108413,
53,0.12,0.12,1.3876440012239906,1.1989834819898428,1.3100973031018408,1.4837171030576706,1.551664297766056,0.8347353797057798,1.1389877762910077,1.5120240260275655,1.3570043839331756,
54,0.12,0.12,1.3093113265205019,1.3131321136801233,1.3660112353194822,1.4054309105625638,1.4304867673303616,0.8572598102019812,1.3009637469827657,1.4016227751379,1.362013313686144,
55,0.12,0.12,1.2749273093019375,1.7844015504637123,1.3515056540462496,1.0001661292707165,1.332225040993904,0.9269816045424465,2.4138976630794136,1.2267292447810374,1.057022097582863,
56,0.12,0.12,1.4077124291604504,1.365608963816921,1.6276124844212931,1.0219603638789074,1.3425746934368012,0.7406782486914044,1.863609696094557,1.1351214573269812,1.1234643909865032,
57,0.12,0.12,1.3506272223088538,1.3576763293820338,1.3565931018121211,1.3695052346787664,1.3707275760942705,0.8557152055124768,1.3459460715372666,1.3671404163896097,1.3653556755377074,
58,0.12,0.12,1.221224513014839,1.8522888654052505,1.7727888841411774,1.0000326479758117,1.1681795759478415,0.8577517075857363,2.0142562774973953,1.2522021275020194,1.1140371520664478,
59,0.12,0.12,1.217269294092276,1.7537778204752428,1.4149119666598224,1.0001336822484583,1.3657005704252172,0.8540785996514298,2.081391580838132,1.269263767414089,1.1924570502586096,
60,0.12,0.12,1.3822417955206854,1.5980031529363339,1.2934000279763007,1.000043687838743,1.2369403589283958,0.8484039265426487,2.1053922851079148,1.2295906821266624,1.2723580680954367,
61,0.12,0.12,1.326136820333078,1.2320427862174614,1.4782715802147521,1.0000237228915616,1.3561517291576077,0.7564008743263865,2.047533212481179,1.1291811993417225,1.2166259745805073,
62,0.12,0.12,1.2476440825949178,1.4141522015807486,1.2564230943014243,1.4455357489391287,1.6586338110405001,0.7861197014433343,1.1787880142002665,1.3905716808761972,1.323044050861239,
63,0.12,0.12,1.3121328089992472,1.3812085913523424,1.382221649354006,1.000001031821393,1.3001570667950193,0.7894951002258518,2.1072285870646317,1.2488624239352943,1.1829580921650855,
64,0.12,0.12,1.3556885883157366,1.3587651855946985,1.3593767427633896,1.3690113416537613,1.3711387621766398,0.8540915637088484,1.34579622468649,1.3629533196294885,1.3624941629978962,
65,0.12,0.12,1.1896201659957653,1.7987787846653125,1.2458145451349578,1.0000016698396497,1.446407380021513,0.876490065899874,2.233019571548473,1.185515399268758,1.2499754149520856,
66,0.12,0.12,1.148861343462744,1.6937330579480472,1.3295553385416534,1.0000014031492448,1.3225012878885443,0.8830590657144828,2.4069671277265425,1.134604859529838,1.3125297944643444,
67,0.12,0.12,1.1692959939910506,1.6265938204854835,1.2625865874212423,1.0000057113887173,1.3850223993846487,0.8081166758343123,2.112929201490231,1.1767808341162658,1.281828407313463,
68,0.12,0.12,1.1956936657084085,1.5330879125571097,1.4945981751530222,1.0000009775040657,1.4471685798211706,0.8682273419273036,1.9375242763556817,1.1275843998606723,1.2153114570307373,
69,0.12,0.12,1.3618908853288016,1.3460694161202735,1.3660029253569448,1.3671390064157134,1.379890394543586,0.8530885903976364,1.3399409586845454,1.3631094559095425,1.3621186964295455,
70,0.12,0.12,1.058419792872524,1.5508722301670388,1.1816090450198022,1.0000001165961563,1.6154968780159713,0.8197058300494318,2.638953659411162,1.0382231990528936,1.2269901863998074,
71,0.12,0.12,1.0585874474088557,1.555023197118654,1.214851488933777,1.0000000243380638,1.519812498744134,0.814237688547955,2.6576578394032917,1.0395053150472264,1.2313672548039074,
72,0.12,0.12,1.0814120878446585,1.52006633969422,1.1963214960393205,1.000000179551863,1.5210101323154335,0.7981893376031095,2.455624902083994,1.0548132870269649,1.248691113631556,
73,0.12,0.12,1.0775399407654644,1.5955086406313055,1.2289759605837982,1.0000005364807414,1.837478923506025,0.7341776636928317,2.3605276627082548,1.0312769856583925,1.2147381250334404,
74,0.12,0.12,1.3303479987563183,1.3388998708568354,1.3322725881523703,1.3322137890198715,1.551513350248606,0.7981193819204928,1.2610792523317989,1.32420383364316,1.3417391060336719,
75,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
76,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
77,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
78,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
79,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
80,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
81,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
82,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
83,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
84,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
85,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
86,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
87,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
88,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
89,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
90,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
91,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
92,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
93,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
94,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
95,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
96,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
97,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
98,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
99,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
100,0.12,0.12,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,1.000000000004159,0.9999999999979206,1.000000000004159,1.000000000004159,1.000000000004159,
